text,escalation_score_haiku,escalation_score_sonnet,escalation_diff,blame_direction_haiku,blame_direction_sonnet
"I just had a lengthy and highly productive phone call with President Vladimir Putin of Russia. We discussed Ukraine, the Middle East, Energy, Artificial Intelligence, the power of the Dollar, and various other subjects. We both reflected on the Great History of our Nations, and the fact that we fought so successfully together in World War II, remembering, that Russia lost tens of millions of people, and we, likewise, lost so many! We each talked about the strengths of our respective Nations, and the great benefit that we will someday have in working together. But first, as we both agreed, we want to stop the millions of deaths taking place in the War with Russia/Ukraine. President Putin even used my very strong Campaign motto of, “COMMON SENSE.” We both believe very strongly in it. We agreed to work together, very closely, including visiting each other’s Nations. We have also agreed to have our respective teams start negotiations immediately, and we will begin by calling President Zelenskyy, of Ukraine, to inform him of the conversation, something which I will be doing right now. I have asked Secretary of State Marco Rubio, Director of the CIA John Ratcliffe, National Security Advisor Michael Waltz, and Ambassador and Special Envoy Steve Witkoff, to lead the negotiations which, I feel strongly, will be successful. Millions of people have died in a War that would not have happened if I were President, but it did happen, so it must end. No more lives should be lost! I want to thank President Putin for his time and effort with respect to this call, and for the release, yesterday, of Marc Fogel, a wonderful man that I personally greeted last night at the White House. I believe this effort will lead to a successful conclusion, hopefully soon!",4.0,1.0,3.0,0.0,-1.0
"I just spoke with President Claudia Sheinbaum of Mexico. It was a very friendly conversation wherein she agreed to immediately supply 10,000 Mexican Soldiers on the Border separating Mexico and the United States. These soldiers will be specifically designated to stop the flow of fentanyl, and illegal migrants into our Country. We further agreed to immediately pause the anticipated tariffs for a one month period during which we will have negotiations headed by Secretary of State Marco Rubio, Secretary of Treasury Scott Bessent, and Secretary of Commerce Howard Lutnick, and high-level Representatives of Mexico. I look forward to participating in those negotiations, with President Sheinbaum, as we attempt to achieve a “deal” between our two Countries.",4.0,0.0,4.0,0.0,-1.0
"Many people in Canada LOVE being the 51st State. The United States can no longer suffer the massive Trade Deficits and Subsidies that Canada needs to stay afloat. Justin Trudeau knew this, and resigned. If Canada merged with the U.S., there would be no Tariffs, taxes would go way down, and they would be TOTALLY SECURE from the threat of the Russian and Chinese Ships that are constantly surrounding them. Together, what a great Nation it would be!!!",3.0,0.0,3.0,0.0,-1.0
"Opposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up in Ukraine, and with the loss there of over 600,000 soldiers, seems incapable of stopping this literal march through Syria, a country they have protected for years. This is where former President Obama refused to honor his commitment of protecting the RED LINE IN THE SAND, and all hell broke out, with Russia stepping in. But now they are, like possibly Assad himself, being forced out, and it may actually be the best thing that can happen to them. There was never much of a benefit in Syria for Russia, other than to make Obama look really stupid. In any event, Syria is a mess, but is not our friend, &amp; THE UNITED STATES SHOULD HAVE NOTHING TO DO WITH IT. THIS IS NOT OUR FIGHT. LET IT PLAY OUT. DO NOT GET INVOLVED!",6.0,2.0,4.0,0.0,0.0
"As everyone is aware, thousands of people are pouring through Mexico and Canada, bringing Crime and Drugs at levels never seen before. Right now a Caravan coming from Mexico, composed of thousands of people, seems to be unstoppable in its quest to come through our currently Open Border. On January 20th, as one of my many first Executive Orders, I will sign all necessary documents to charge Mexico and Canada a 25% Tariff on ALL products coming into the United States, and its ridiculous Open Borders. This Tariff will remain in effect until such time as Drugs, in particular Fentanyl, and all Illegal Aliens stop this Invasion of our Country! Both Mexico and Canada have the absolute right and power to easily solve this long simmering problem. We hereby demand that they use this power, and until such time that they do, it is time for them to pay a very big price!",4.0,0.0,4.0,0.0,-1.0
"We are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE! https://swampthevoteusa.com/",4.0,8.0,-4.0,0.0,0.0
"Mimi Ramirez-Rodriguez was kidnapped and murdered by an illegal alien—leaving behind a 9 year-old girl. I met her grieving mom Carmen tonight in Georgia. With your vote Tuesday, we will end Kamala’s invasion and we will not allow illegals to spill one more drop of American blood.",4.0,0.0,4.0,0.0,-1.0
"RT @TeamTrumpPRESIDENT TRUMP: ""We are running against the most radical, most incompetent, most unfit Vice President in history. No one respects her. No one trusts her. No one takes her seriously. Something is clearly wrong with her. She can’t put two sentences together. She is an international joke and is going to end up getting us into a Third World War.""",3.0,8.0,-5.0,0.0,0.0
“MYSTERY DRONES SWARMED A U.S. MILITARY BASE FOR 17 DAYS. THE PENTAGON IS STUMPED”,6.0,3.0,3.0,0.0,-1.0
RT @TrumpLadyTNThey best heed the warning...,2.0,6.0,-4.0,0.0,1.0
"Things on the campaign against the Communist Left are going very well, but the World is now a very dangerous place. Kamala (and Joe!) is unable to answer even the simplest of questions. It’s CRAZY! If she can’t do that, how can she represent us on stopping World War lll? The answer is simple, she can’t! MAGA2024",3.0,7.0,-4.0,-1.0,0.0
"This Election is about the ECONOMY, INFLATION, OPEN BORDERS (ILLEGAL IMMIGRATION), RESPECT FOR OUR NATION, PREVENTING WORLD WAR lll AND A 1929 STYLE DEPRESSION…",4.0,8.0,-4.0,0.0,0.0
"Today’s Attack on Israel cannot be forgotten. It will go down as another moment in History created by a weak and ineffective United States President and Vice President. With time, this situation will only get worse for our Country. It must galvanize the Republican Party, Democrats, Independents, Conservatives, Progressives, Libertarians, and everybody else to put STRENGTH, RESPECT, AND POWER back into the U.S.A. This Attack, just like the Attack of October 7th, or the Ukraine/Russia War, would have never happened if I were President! It is a dangerous and terrible time for the World, and it is almost the entire fault of the incompetent Biden-Harris Administration. It must be changed, and quickly. MAKE AMERICA GREAT AGAIN!",6.0,2.0,4.0,0.0,0.0
"P.M. Netanyahu of Israel had a terrible and “insulting” meeting in D.C. with Kamala Harris, who also refused to preside over Congress during his speech, which is an obligation of the V.P. Rarely has such a thing happened. Her ineptness will greatly prolong the war and delay the hostage release. The same people that embarrassed us in AFGHANISTAN with their gross incompetence, are the ones who are telling Israel not to fight any longer with Hamas. Forget October 7th, they say! Any Jewish person that votes for Kamala, or a Democrat, should immediately have their head examined. Likewise Catholics, who are being persecuted by this Administration, should not be voting for Radical Left Kamala. VOTE TRUMP 2024. MAKE AMERICA GREAT AGAIN!!!",3.0,0.0,3.0,0.0,-1.0
RT @RSBNTrump on the Russia/Ukraine war: “I will have that settled prior to taking the White House as President-Elect.”WATCH LIVE:  https://www.rsbnetwork.com/video/live-president-trump-speaks-at-the-peoples-convention-in-detroit-6-15-24/,4.0,1.0,3.0,0.0,-1.0
"2024 is our final battle. With your help, we will demolish the Deep State, we will expel the warmongers from our government, we will drive out the globalists, we will cast out the Communists, Marxists, and Fascists, we will throw off the sick political class that hates our country, we will Drain the Swamp, and we will rescue our country from these tyrants and villains once and for all. The Great Liberation of America Begins on November 5th, 2024—And the Forgotten Man and Woman Will Be Forgotten No Longer! https://www.DonaldJTrump.com",6.0,2.0,4.0,0.0,-1.0
"2024 is our Final Battle. With you at my side, we will demolish the Deep State, we will expel the warmongers from our government, we will drive out the globalists, we will cast out the Communists, Marxists, and Fascists, we will throw off the sick political class that hates our Country, we will rout the Fake News Media, we will Drain the Swamp, and we will liberate our country from these tyrants and villains once and for all!THANK YOU SOUTH CAROLINA!!! https://sc.donaldjtrump.com/",6.0,2.0,4.0,0.0,-1.0
"RT @realDonaldTrumpThe stakes of this election could not be higher. Under Crooked Joe Biden, our borders have been erased. Millions of illegal aliens are invading from all over the world. Our Middle Class is being crushed by Biden’s crippling inflation. Violent criminals are running wild in Democrat-run cities while law enforcement has been weaponized against Christians, conservatives, and people of faith. We have war in Europe, war in the Middle East, China is threatening Taiwan, Iran is inches away from a nuclear bomb, our military has gone woke, and we are teetering on the brink of World War III.I am the ONLY candidate in this race who is up to the task of saving America from every single Biden disaster starting on DAY ONE! https://ia.donaldjtrump.com/",6.0,9.0,-3.0,0.0,0.0
"RT @ElectionwizPOLITICO: “With U.S. and European aid to Ukraine now in serious jeopardy, the Biden administration and European officials are quietly shifting their focus from supporting Ukraine’s goal of total victory over Russia to improving its position in an eventual negotiation to end the war.”",4.0,1.0,3.0,0.0,-1.0
"Just three years ago, our economy was booming, the world was safe, and America was strong. Annual incomes went up by more than $6,000 under the Trump administration, and they went down by about $6,000 under the horrible Biden administration — the worst in the history of our country. The 30-year mortgage rate reached a record low of 2.65%. We had no inflation. We had gasoline down to $1.87 per gallon. … Under Crooked Joe Biden, the economy is in shambles and the world is going up in flames. Real incomes have gone down by $7,400 per family. … Cumulative inflation is nearly 20%. … We have war in Europe. We have wars in the Middle East. And we are stumbling into World War III.",6.0,2.0,4.0,0.0,0.0
https://thepostmillennial.com/breaking-president-trump-pledges-to-end-ukraine-war-before-even-taking-office,4.0,1.0,3.0,0.0,-1.0
https://www.rsbnetwork.com/news/trump-i-will-prevent-world-war-three/,4.0,7.0,-3.0,0.0,0.0
"The fight in GAZA is “coming home” to the USA. The tens of thousands of strong young men from the Middle East, that have already “invaded” our Country, and are continuing to come, totally unchecked, will become a problem the likes of which we have never seen before. Crooked Joe Biden is a very ignorant (STUPID!) man, who has NEVER been right on a foreign policy issue in his life. CLOSE OUR BORDER, NOW. STOP THE ONSLAUGHT, STOP THE INVASION!",6.0,2.0,4.0,0.0,-1.0
RT @realDonaldTrump“TRUMP SPEAKS OUT ON HAMAS WAR ON ISRAEL: ‘AN ACT OF SAVAGERY THAT MUST AND WILL BE CRUSHED’” https://www.rsbnetwork.com/news/trump-speaks-out-on-hamas-war-on-israel-an-act-of-savagery-that-must-and-will-be-crushed/,7.0,0.0,7.0,1.0,-1.0
“TRUMP SPEAKS OUT ON HAMAS WAR ON ISRAEL: ‘AN ACT OF SAVAGERY THAT MUST AND WILL BE CRUSHED’” https://www.rsbnetwork.com/news/trump-speaks-out-on-hamas-war-on-israel-an-act-of-savagery-that-must-and-will-be-crushed/,6.0,0.0,6.0,1.0,-1.0
"In addition to the fact that my Net Worth is much greater than the number shown in the Financial Statements, there is a POWERFUL Disclaimer Clause (some call it a “non-reliance clause,” others a “buyer beware clause￼”), BOLDLY STATED on pages 1 &amp; 2, explaining that there should be no reliance placed on these Financial Statements, but instead everyone should do their own independent research, analysis, and due diligence. This was fully accepted &amp; acknowledged by the banks, but it didn’t matter because all loans were good, &amp; there were no defaults or problems of any kind. The banks were represented by highly sophisticated attorneys, were paid full interest, &amp; made money. There were no defaults or any other problems. This is a lawsuit that should never have been brought. It is a POLITICALLY MOTIVATED WITCH HUNT by a Racist Attorney General, and a Deranged, Trump Hating Judge. It is ELECTION INTERFERENCE at a level never seen before. No wonder people and companies are fleeing New York!",3.0,0.0,3.0,0.0,-1.0
"Many say that it’s 100 times bigger than Watergate, and yet the Mainstream Media doesn’t even report the fact that Joe Biden has illegally taken millions and millions of dollars from China, Ukraine, and many other countries. Is that why Biden is allowing China to build MILITARY FACILITIES in Cuba, why hundreds of billions of dollars are given, without any control, to Ukraine, or why we allow the Cartels to totally run our horrendous OPEN BORDER? We are a corrupt Country with a corrupt Media!",6.0,2.0,4.0,0.0,-1.0
"NOW THAT THE “SEAL” IS BROKEN, IN ADDITION TO CLOSING THE BORDER &amp; REMOVING ALL OF THE “CRIMINAL” ELEMENTS THAT HAVE ILLEGALLY INVADED OUR COUNTRY, MAKING AMERICA ENERGY INDEPENDENT, &amp; EVEN DOMINANT AGAIN, &amp; IMMEDIATELY ENDING THE WAR BETWEEN RUSSIA &amp; UKRAINE, I WILL APPOINT A REAL SPECIAL “PROSECUTOR” TO GO AFTER THE MOST CORRUPT PRESIDENT IN THE HISTORY OF THE USA, JOE BIDEN, THE ENTIRE BIDEN CRIME FAMILY, &amp; ALL OTHERS INVOLVED WITH THE DESTRUCTION OF OUR ELECTIONS, BORDERS, &amp; COUNTRY ITSELF!",4.0,1.0,3.0,0.0,0.0
"IT’S TIME!!! WE ARE A NATION IN STEEP DECLINE, BEING LED INTO WORLD WAR III BY A CROOKED POLITICIAN WHO DOESN’T EVEN KNOW HE’S ALIVE, BUT WHO IS SURROUNDED BY EVIL &amp; SINISTER PEOPLE WHO, BASED ON THEIR ACTIONS ON DEFUNDING THE POLICE, DESTROYING OUR MILITARY, OPEN BORDERS, NO VOTER I.D., INFLATION, RAISING TAXES, &amp; MUCH MORE, CAN ONLY HATE OUR NOW FAILING USA. WE JUST CAN’T ALLOW THIS ANYMORE. THEY’RE  KILLING OUR NATION AS WE SIT BACK &amp; WATCH. WE MUST SAVE AMERICA!PROTEST, PROTEST, PROTEST!!!",4.0,8.0,-4.0,0.0,0.0
https://thepostmillennial.com/breaking-trump-vows-to-prevent-world-war-iii-put-america-first-again-in-epic-cpac-speech,3.0,7.0,-4.0,0.0,0.0
"Thank you Gavin Wax, very much. The problem is, many of the people that get elected to office know what to do (that’s the easy part), but they have no idea how to pull it off. They don’t know how to talk to the other side, they can’t cajole, be jovial or be, perhaps, angry. As an example, President Putin of Russia would have never gone into Ukraine! https://townhall.com/columnists/gavinwax/2023/02/19/there-is-no-trumpism-without-trump-n2619606",6.0,2.0,4.0,-1.0,0.0
We wouldn’t have had the War with Russia and Ukraine if I were President. I could also end it in 24 hours—which is what should happen!,6.0,2.0,4.0,0.0,-1.0
"I found John Bolton to be one of the dumbest people in Government but, I am proud to say, I used him well. A total &amp; unhinged WARMONGER, the red faced “boiler ready to explode” was one of those very stupid voices that got us into the Middle East quicksand. Seven Trillion Dollars, &amp; Millions of deaths later, NOTHING! The good news is that I won big negotiations with this moron by my side. When I brought him into a room with hostile foreign leaders, they thought I was going to war, CONCEEDED ALL!",6.0,3.0,3.0,0.0,0.0
"RT @realDonaldTrumpIF I WERE PRESIDENT, THE RUSSIA/UKRAINE WAR WOULD NEVER HAVE HAPPENED, BUT EVEN NOW, IF PRESIDENT, I WOULD BE ABLE TO NEGOTIATE AN END TO THIS HORRIBLE AND RAPIDLY ESCALATING WAR WITHIN 24 HOURS. SUCH A TRAGIC WASTE OF HUMAN LIFE!!!",4.0,1.0,3.0,0.0,-1.0
RT: https://truthsocial.com/users/realDonaldTrump/statuses/109009712511776140Am so looking forward to beginning the battle. MAKE AMERICA GREAT AGAIN!!!,6.0,2.0,4.0,-1.0,-1.0
"U.S. “Leadership” should remain “cool, calm, and dry” on the SABOTAGE of the Nord Stream Pipelines. This is a big event that should not entail a big solution, at least not yet. The Russia/Ukraine catastrophe should NEVER have happened, and would definitely not have happened if I were President. Do not make matters worse with the pipeline blowup. Be strategic, be smart (brilliant!), get a negotiated deal done NOW. Both sides need and want it. The entire World is at stake. I will head up group???",4.0,1.0,3.0,0.0,0.0
"If you look at the words and meaning of the awkward and angry Biden speech tonight, he threatened America, including with the possible use of military force. He must be insane, or suffering from late stage dementia!",6.0,2.0,4.0,-1.0,-1.0
"Same thing’s going to happen in Wyoming to Virginia “resident” Liz Cheney, that happened in South Carolina to Congressman “Impeach Master” Tom Rice, who lost as an incumbent by 28 points! To me she is nothing less than a war criminal who has done a TERRIBLE job for the Great State of Wyoming!",4.0,0.0,4.0,-1.0,-1.0
Secretary of State Rubio: It is going to be the official policy of the United States that the war in Ukraine needs to come to an END.,4.0,1.0,3.0,0.0,-1.0
"Scoop: Hegseth opening statement pledges Pentagon ""warrior ethos""https://www.axios.com/2025/01/14/pete-hegseth-pentagon-confirmation-opening-statement",6.0,1.0,5.0,0.0,-1.0
"Senator Ted Cruz: I've met with @PeteHegseth twice... If you look at his background, he's a decorated combat veteran. He has spent virtually his entire adult life as a campion and advocate for the military, for veterans. And I think he has a very clear-eyed focus on moving the Department of Defense back to its core mission of supporting the warfighter.",4.0,0.0,4.0,0.0,-1.0
"America's future Secretary of Defense @PeteHegseth: ""Return the Pentagon to the warfighters. Get in there and clean out all the social justice, politically correct garbage on top, and get back to lethality, war-fighting, accountability, meritocracy, and readiness... Address the recruiting crisis, address the retention crisis.""",6.0,2.0,4.0,0.0,-1.0
"RT @realDonaldTrumpOpposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up in Ukraine, and with the loss there of over 600,000 soldiers, seems incapable of stopping this literal march through Syria, a country they have protected for years. This is where former President Obama refused to honor his commitment of protecting the RED LINE IN THE SAND, and all hell broke out, with Russia stepping in. But now they are, like possibly Assad himself, being forced out, and it may actually be the best thing that can happen to them. There was never much of a benefit in Syria for Russia, other than to make Obama look really stupid. In any event, Syria is a mess, but is not our friend, &amp; THE UNITED STATES SHOULD HAVE NOTHING TO DO WITH IT. THIS IS NOT OUR FIGHT. LET IT PLAY OUT. DO NOT GET INVOLVED!",6.0,2.0,4.0,0.0,1.0
"Senator Rick Scott: ""I just had a great meeting with @PeteHegseth, the next Secretary of Defense. I'll tell you why I support him: I admire people who are willing to put on the uniform and lead troops into battle... When he goes in the Department of Defense, he will walk in with the mentality that he's going to take care of our warfighters.""",4.0,0.0,4.0,0.0,-1.0
"The next Secretary of Defense, Pete Hegseth: “I spoke to the President-elect this morning. He said keep going, keep fighting…Why would I back down? I’ve always been a fighter. I’m here for the warfighters. This is personal &amp; passionate for me.” 🔥",7.0,2.0,5.0,0.0,-1.0
"@DonaldJTrumpJr: ""If everyone gets out tomorrow and votes — if everyone brings their friends, we can win this things and we can win it outright tomorrow... You can have cheap groceries and affordable housing again, or you can have World War 3...""",4.0,8.0,-4.0,0.0,0.0
"RT @realDonaldTrumpWe are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE! https://swampthevoteusa.com/",4.0,8.0,-4.0,0.0,0.0
"PRESIDENT TRUMP: When you vote on Tuesday, vote in honor of Kayla, and Jocelyn, and Laken Riley... and every American who has been stolen from us by Kamala’s open border.The day I take the oath of office, the migrant invasion ENDS, and the restoration of our country BEGINS!",3.0,0.0,3.0,-1.0,-1.0
"RT: https://truthsocial.com/users/TeamTrump/statuses/113407824953105849Do you want your kids sent to die in endless foreign wars by D.C. politicians who stand to gain from it? No — and President Trump doesn't either. He's the PRESIDENT OF PEACE.The morons at @KamalaHQ and in the Fake News struggle with comprehension, so here's the transcript:""She's a radical war hawk. Let's put her with a rifle standing there with nine barrels shooting at her, okay? Let's see how she feels about it, you know, when the guns are trained on her face. You know, they're all war hawks when they're sitting in Washington in a nice building saying, 'Oh, gee, we'll— let's send, let's send 10,000 troops right into the mouth of the enemy. But she's a stupid person.""",6.0,3.0,3.0,0.0,0.0
"PRESIDENT TRUMP: ""For 4 straight years, Kamala Harris has imported an ARMY of illegal alien gang members and migrant criminals from prisons and jails -- When I win on November 5th, the migrant invasion ENDS, and the restoration of our country BEGINS.""",3.0,0.0,3.0,-1.0,-1.0
"PRESIDENT TRUMP: ""We are running against the most radical, most incompetent, most unfit Vice President in history. No one respects her. No one trusts her. No one takes her seriously. Something is clearly wrong with her. She can’t put two sentences together. She is an international joke and is going to end up getting us into a Third World War.""",4.0,8.0,-4.0,0.0,0.0
RT @realDonaldTrump“MYSTERY DRONES SWARMED A U.S. MILITARY BASE FOR 17 DAYS. THE PENTAGON IS STUMPED”,6.0,3.0,3.0,0.0,-1.0
"Yahya Sinwar — the Hamas leader responsible for the worst attack on Jews since the Holocaust — was killed by Israeli forces today in Rafah.In March, Kamala said an Israeli offensive in Rafah would be a ""huge mistake"" because she ""studied the maps.""",6.0,3.0,3.0,0.0,1.0
"RT @realDonaldTrumpWe will send elite squads of ICE, border patrol, and federal law enforcement officers to hunt down, arrest, and deport every last illegal alien gang member, until there is not a single one left. If they come back, it’s an automatic ten years in jail with no possibility of parole—and I am hereby calling for the death penalty for any migrant that kills an American citizen or a law enforcement officer.  We will close the border. We will stop the invasion of illegals into our Country. We will defend our territory. We will not be conquered. We will reclaim our sovereignty—and Colorado will vote for Trump as a protest and signal to the world that we are not going to take it anymore. I will liberate Colorado. I will give you back your freedom and your life!",6.0,0.0,6.0,0.0,-1.0
"PRESIDENT TRUMP: ""I will LIBERATE Pennsylvania and our entire nation from this mass Migrant Invasion of murderers, child predators, gang members, terrorists, drug dealers, and thugs.""",3.0,0.0,3.0,0.0,-1.0
"@JDVance1: ""We stand with Israel today and unequivocally condemn anti-Semitism whether it's in Israel, the Middle East, or in our own country. Because we want peace more than anything else -- we support Israel's right to exist, defend itself, and do what it takes to end the war.""",5.0,0.0,5.0,1.0,-1.0
"PRESIDENT TRUMP: ""Together, we will deliver low taxes, low regulations, low energy costs, low interest rates, and low inflation so that everyone can afford groceries, a nice car, and a home. We will stop the invasion, we will end migrant crime, we will strengthen our military, we will build a missile defense shield. We will keep Critical Race Theory and transgender insanity out of our schools, and keep men out of women’s sports. We will defend the Second Amendment, protect religious liberty, restore free speech, and we will secure our elections. Everyone will prosper. Every family will thrive. And every day will be filled with opportunity and hope. But for that to happen, we must defeat Kamala Harris—and we must stop her country-destroying radical-left agenda once and for all. We want a landslide that is TOO BIG TO RIG!""",3.0,0.0,3.0,0.0,-1.0
"PRESIDENT TRUMP: ""On Day One of my new administration, the INVASION of savage criminals ENDS, and on that same day, the largest deportation in our history begins.""",6.0,0.0,6.0,-1.0,-1.0
