date,source,title
1/15/23,unknown,Secretary-General Strongly Condemns Lethal Missile Attack on Ukraine Residences
1/16/23,unknown,Russia’s commissioner denies talks on large prisoner exchange with Ukraine
1/18/23,unknown,U.S. announces $2.5 billion in military assistance for Ukraine
1/19/23,bbc-news,No German tanks for Ukraine
1/21/23,rt,NATO nation denies involvement in Crimean Bridge attack
1/23/23,unknown,"US and Germany set to send tanks to Ukraine, breaking deadlock"
1/24/23,unknown,"Putin is losing the war in Ukraine, but winning the battle at home"
1/26/23,unknown,"Friday, January 27. Russia’s War On Ukraine: Daily News And Information From Ukraine"
1/27/23,unknown,"Saturday, January 28. Russia’s War On Ukraine: Daily News And Information From Ukraine"
1/29/23,unknown,Biden rejects Zelensky's pleas for coveted F-16 fighter jets
1/31/23,rt,Erdogan comments on tanks for Ukraine
2/1/23,unknown,"Germany approves Leopard 1 delivery to Ukraine, in talks with Qatar over Gepards -newspaper | Health"
2/3/23,unknown,"Ukraine, Russia swap prisoners"
2/4/23,unknown,"Ukraine to replace defence minister after corruption scandals, says senior MP"
2/6/23,unknown,Ukraine Could Get 237 Leopard 1A5 Tanks
2/7/23,unknown,"Ukraine's Zelenskyy tells France, Germany to provide 'game changing' weapons"
2/9/23,bloomberg,Ukraine Credit Rating Cut by Moody's on 'Likely' Restructuring
2/11/23,unknown,What Are Gepard Panzers? German Anti-Aircraft Tanks Sent to Ukraine (confirmed drone killers)
2/12/23,unknown,NATO Chief Urges Faster Ammunition Production for Ukraine
2/14/23,unknown,"Ukraine war shows urgency of military AI, Palantir CEO says"
2/15/23,unknown,Biden's war crime against Russia … and Germany!
2/17/23,unknown,US: Russia has committed crimes against humanity in Ukraine
2/19/23,unknown,Biden shows solidarity with Ukraine in surprise visit ahead of invasion anniversary
2/20/23,unknown,China president to visit Putin as Russia's war in Ukraine rages on
2/22/23,unknown,China Reportedly Negotiating with Russia To Supply Kamikaze Drones
2/23/23,unknown,Zelenskyy supports China's new stance on Ukraine
2/25/23,breitbart-news,Treasury Secretary Janet Yellen Says U.S. Will Provide $10B to Ukraine in 'Coming Months'
2/26/23,unknown,Video shows Russian T-72 drive into minefield littered with abandoned tanks
2/28/23,unknown,Marjorie Taylor Greene and Mike Lee spread anti-Ukraine disinformation with edited video
3/2/23,unknown,"The BTR-50P Was The Soviet Army’s Main Fighting Vehicle ... In 1954. Now It’s Back, Replacing Russian Losses In Ukraine."
3/3/23,unknown,Civilians flee embattled town as Ukrainian pullout looms
3/5/23,unknown,Zelenskyy vows not to retreat from Ukrainian city of Bakhmut
3/6/23,unknown,Ukraine heads into season of advantage over Russia
3/8/23,bbc-news,UN: Russian shelling near Ukraine nuclear plant risks 'disaster'
3/10/23,unknown,"Russian shelling kills Kherson residents, Zelenskyy denounces 'terrorist attacks'"
3/11/23,unknown,"Swiss President Defends Neutrality, Ukraine Arms Ban"
3/13/23,unknown,Moscow Ramps Up Pressure on Radio Free Europe/Radio Liberty
3/14/23,unknown,Is Bakhmut a sign Putin's learning from his military mistakes?
3/16/23,the-hill,Biden: International Criminal Court ‘justified’ in issuing arrest warrant for Putin
3/18/23,unknown,"Ahead Of Xi Jinping's Visit, Putin Thanks China For Its Ukraine Stance"
3/19/23,unknown,EU gives Ukraine €2bn of ammunition after shell plea - BBC
3/21/23,rt,Cost of Ukraine reconstruction revealed
3/22/23,unknown,Ukrainian Patriot Air Defense Crew Finishes Training Ahead of Schedule
3/24/23,unknown,Religious leaders gather in Jamaica Plain for prayer service for Ukraine
3/25/23,unknown,"Ukraine's Avdiivka becoming 'post-apocalyptic', city shuts down -official"
3/27/23,unknown,Ukraine Made Exactly One Oddball Kevlar-E Fighting Vehicle. It’s Been Fighting Around Kharkiv For A Year.
3/29/23,unknown,U.S. says Russia seeks arms-for-food deal with North Korea
3/30/23,unknown,Bucha residents light candles to mark recapture anniversary
4/1/23,unknown,The children’s rights advocate accused of Russian war crimes
4/2/23,unknown,"""Attempt To Drive Wedge Between Beijing, Moscow"": Russia Hits Out At West"
4/4/23,unknown,"Russia Launches Thermobaric Rockets, Ukraine Flings A Line-Charge—And Bakhmut Explodes"
4/6/23,unknown,Kiev Planning Provocation in Sumy Region to Accuse Russia of Using Poisonous Substances - Moscow
4/7/23,al-jazeera-english,Ukraine children returned from Russia after alleged deportation
4/9/23,unknown,"Russian jets, some flown by Wagner mercenaries, are making risky attacks to test Ukraine's defenses around Bakhmut"
4/10/23,unknown,Ukraine Is Forming A Dozen New Brigades—And Giving Them Old Weaponry
4/12/23,unknown,Ukrainian PM Says Starting Reconstruction in 2023 Is Critical
4/13/23,unknown,"Russian Strike Kills 8, Injures 21 In Eastern Ukraine"
4/15/23,unknown,War separates two best friends from Ukraine
4/17/23,unknown,"Brazil's Lula condemns invasion of Ukraine, touts peace initiative"
4/18/23,unknown,Did Russian Kinzhal Missile Take Out 'NATO Command Center' in Ukraine?
4/20/23,google-news,US Military Officials in Germany Reaffirm Commitment to Ukraine | VOA News - Voice of America
4/21/23,unknown,We Are Together: Russian Surgeon Saves Hundreds in Donbass
4/23/23,unknown,Wagner Boss Yevgeny Prigozhin Tells Russian Mercenaries To Kill Every Ukrainian Soldier: 'Take No More Prisoners Of The War!'
4/25/23,the-jerusalem-post,Russia says Poland seized money from Warsaw embassy's accounts
4/26/23,unknown,"Group results 2022: Divestment of Russian operating companies, focus on business in Kazakhstan"
4/28/23,unknown,Russia blames Ukraine drone attack for major Crimea fuel depot fire - Reuters
4/29/23,unknown,Death Toll Rises As Ukraine Ramps Up Attacks On Russian Border Towns
5/1/23,unknown,Zelensky Blasts U.S. Over Handling Of Ukraine Document Leaks—And Reportedly Claims He Learned About Breach From News
5/3/23,abc-news-au,Putin's war is about to get even more brutal. Just ask the locals
5/4/23,unknown,Russian Wagner Leader Threatens to Pull Out of Bakhmut: Ukraine War Live News - The New York Times
5/6/23,unknown,"In Ukraine's forests, fighters race to prepare for next push"
5/7/23,unknown,"Associated Press, New York Times win Pulitzers for Ukraine coverage"
5/9/23,unknown,"Imagine Dragons video tells ""heartbreaking"" story from Ukraine front lines"
5/10/23,unknown,U.S. Accuses South Africa of Shipping Arms to Russia
5/12/23,cnn,Sweden wins Eurovision after emotional show in Britain that celebrated Ukraine | CNN
5/14/23,unknown,The roadblocks to holding Putin and his high command accountable for war crimes in Ukraine
5/15/23,unknown,"Putin, Zelenskyy agree to separately meet for 'an African leaders peace mission,' says South Africa president"
5/17/23,unknown,"World leaders gather for G7 meetings, ready to pile fresh sanctions on Russia over Ukraine war"
5/18/23,unknown,The collapse of Russian influence is widening
5/20/23,unknown,Brutal Battle for Bakhmut Leaves Russia With an Uncertain Victory
5/22/23,unknown,Biden Illegally Ships $3 Billion To Ukraine
5/23/23,unknown,White House Probes Claims US-Made Gear Was Used in Russia Raid
5/25/23,newsweek,Russia Tries to Blackmail WSJ With Veiled Threat About Evan Gershkovich
5/26/23,unknown,'The time has come to take back what is ours': Ukraine signals counteroffensive is coming (Christine Fernando/USA Today)
5/28/23,unknown,Platform created to help Ukrainian soldiers rebuild their sex life after injuries
5/29/23,rt,At least one dead in Ukrainian attack on shelter for displaced in Russia (PHOTOS)
5/31/23,google-news,"Ukraine Victory Will Help Japan, South Korea, Taiwan Against China - Bloomberg"
6/2/23,google-news,Inspection finds too many Ukraine air-raid shelters not ready for sudden use - CBC.ca
6/3/23,unknown,‘Everything changed’: The war arrives on Russians’ doorstep
6/5/23,unknown,"Ukraine, Russia trade blame for destruction of Nova Kakhovka dam"
6/6/23,breitbart-news,Local Official Hurls Molotov Cocktails at Russian Military Recruitment Center
6/8/23,unknown,The Ukrainian Army Lost Bradley Fighting Vehicles And A Leopard 2 Tank Trying And Failing To Breach Russian Defenses In Southern Ukraine - Forbes
6/10/23,unknown,Wagner Boss Rebukes Russia’s Attempt to Rein in Group
6/11/23,unknown,"Monday, June 12. Russia’s War On Ukraine: News And Information From Ukraine"
6/13/23,unknown,CIA Knew Ukraine Was Planning To Bomb Nord Stream Pipelines: Report
6/14/23,unknown,Ukraine plays “Light Brigade” with British advice
6/16/23,rt,‘Using nuclear war to save the world is like using a guillotine for a headache’: Russian experts respond to call for atomic strike
6/18/23,unknown,Ukrainian artillerymen praise US howitzers outside Russian-held town
6/19/23,unknown,Putin Talks Tough While Ukraine Makes Gains
6/21/23,business-insider,The destruction of a major dam near Kherson could be a game-changer for Ukraine's special operators
6/22/23,unknown,PUTIN FEARS COUP Russian tanks in Moscow ‘to secure Kremlin’ amid fears Wagner group is launching coup to overthrow Putin
6/24/23,unknown,Sunday Talks – Anthony Blinken Spins a Tale of Woe for Vladimir Putin
6/25/23,unknown,Why Is Belarus Helping Putin in Russia's War in Ukraine?
6/27/23,unknown,Ukrainian forces advance 'slowly but surely' at front -official
6/29/23,unknown,Ukraine’s top general urges more arms for offensive action
6/30/23,unknown,‘There’s Something Wrong’: Trump Jabs Biden For Calling Ukraine ‘Iraq’ — Twice
7/2/23,google-news,How a U.S.-supplied howitzer is supporting troops' advance in eastern Ukraine | ABC News - ABC News
7/3/23,unknown,"Russia Planning ""Provocations"" At Nuclear Plant, Zelensky Tells Macron"
7/5/23,unknown,Why the US is willing to send Ukraine cluster munitions now
7/7/23,bbc-news,Ukraine’s commanders captured by Russia return home after Zelensky's visit to Turkey
7/8/23,unknown,"Latin American Countries Reject EU’s Stance on Ukraine Help, Pushback Against Environmental Rules for Trade Deal – Demands for Reparations for Slavery Bring Discord Ahead of Summit"
7/10/23,unknown,Zelenskiy Slams NATO for Soft Language on Membership
7/11/23,unknown,"UN Offers Putin SWIFT Access in Exchange for Black Sea Grain Extension, Sources Say"
7/13/23,newsweek,Video Shows Ukrainian Drone Take Out Russian Boat on Dnieper River
7/14/23,unknown,Wagner Troops Reportedly Enter Belarus As Mercenary Group's Future Still Uncertain
7/16/23,rt,Ukrainian defense minister wants law on foreign military bases changed
7/18/23,unknown,Putin Accuses West of Undermining Black Sea Grain Deal
7/19/23,business-insider,Russia's complex defenses are a brutal test for Ukrainian troops' close-quarters-combat skills
7/21/23,google-news,Ukraine wants ships to keep exporting its grain despite Russian attacks - Economic Times
7/22/23,unknown,"Russian missiles strike Odesa, killing one, wounding at least 22 and hitting historic cathedral - New York Post"
7/24/23,unknown,US military aid for Ukraine for first time includes Black Hornet spy drone
7/26/23,unknown,"Ukraine launches ‘main thrust’ of counteroffensive, punches through Russian defenses"
7/27/23,unknown,"Ukraine war: Moscow foils drone strike, Kyiv claims frontline success, UK MoD email slip up - Euronews"
7/29/23,unknown,It’s Possible Ukraine Aimed Its New Deep-Strike Rocket At A Russian Air Base
7/30/23,google-news,Drones and discord: Ukraine's push to spread anxiety in Russia's ranks - The Independent
8/1/23,unknown,Japan pledges more support to Ukraine during finance dialogue
8/3/23,unknown,"Blasts in Crimea, pro-Russia officials report Ukraine drone attack"
8/4/23,unknown,Ukraine drone strike damages Russian tanker day after port attack - New York Post
8/6/23,unknown,Russian Soprano Sues The Metropolitan Opera Over Ukraine-Linked Termination
8/7/23,unknown,Turbulent waters: How the Black Sea became a hot spot in the war
