date,source,title,score
2022-02-24,unknown,MIT rethinks its involvement in Russian high-tech campus in light of Ukraine invasion - wgbh.org,
2022-02-24,unknown,Huge Fireball Lights Up Night Sky In Eastern Ukraine After Russian Missiles Strike Fuel Depot As Putin’s Stormtroopers Advance On Kyiv,
2022-02-24,bloomberg,"Twitter Pauses Ads in Russia, Ukraine to Keep Focus on Safety",
2022-02-24,breitbart-news,Overnight Spine Growth: IOC Cancels Events in Russia Just Days After Genocide Olympics End,
2022-02-24,unknown,China says it respects Ukraine's sovereignty and Russia's security concerns,
2022-02-24,unknown,"AP sources: Administration wants $6.4B for Ukraine, allies",
2022-02-24,unknown,B.C. Liquor Stores pull Russian products amid conflict in Ukraine - BC News - Castanet.net,
2022-02-24,unknown,Readers Write: Ukraine,
2022-02-24,unknown,"To restore peace, understand NATO role in bringing war",
2022-02-24,unknown,Russia vetoes UN resolution deploring 'aggression' in Ukraine,
2022-02-24,unknown,WATCH: Eiffel Tower Lights Up in the Colors of the Ukrainian Flag,
2022-02-24,unknown,Meta Facebook 'Fact Check' for Russia Gets Partial Block from State Media—Why?,
2022-02-24,breitbart-news,Sasse: China’s Xi ‘Using Russia as a Scout Team Offense for His Plans to Seize Taiwan’,
2022-02-24,unknown,How businesses with international ties may adapt their operations during the invasion of Ukraine - Local 5 - weareiowa.com,
2022-02-24,unknown,UK Government sanctions Vladimir Putin and Sergey Lavrov,
2022-02-24,unknown,Russian vodka pulled from B.C. liquor store shelves over Ukraine invasion - CTV News Vancouver,
2022-02-24,unknown,Local drivers worried Russian invasion will lead to astronomical gas prices,
2022-02-24,unknown,"White House Asks Congress for $6.4 Billion for Ukraine, Refugee Aid: Report",
2022-02-24,unknown,"Amid Russian invasion, 10 local Ukrainians gain American citizenship",
2022-02-24,unknown,Tobias Ellwood: The UK should support a no-fly zone over Ukraine,
2022-02-24,unknown,Ukraine wants Apple to stop selling goods and services in Russia,
2022-02-24,cbc-news,"Winnipegger evacuated from eastern Ukraine overwhelmed by grief, thankful for support",
2022-02-24,unknown,"Barack Obama, Meghan Markle and more react to Russian invasion of Ukraine",
2022-02-24,usa-today,Fact check: False claim of US biolabs in Ukraine tied to Russian disinformation campaign,
2022-02-24,unknown,Former NATO Deputy Secretary General Rose Gottemoeller on the ‘Enormous Tragedy’ of Russia’s Ukraine Invasion,
2022-02-24,unknown,Best’s Commentary: Economic Shocks From Ukraine Invasion Fallout to Pressure Global Insurance Industry,
2022-02-24,unknown,Ukrainian Artists Speak Out As Invasion Intensifies,
2022-02-24,unknown,Ukrainian Artists Express Fear and Hopelessness As Invasion Intensifies,
2022-02-24,breitbart-news,Poll: 33% of Americans Approve of Biden's Handling of Russia-Ukraine Conflict,
2022-02-24,unknown,"Ukraine's President Says Russia Will Try To ""Storm"" Kyiv Overnight",
2022-02-24,unknown,"Kim Chiu, napuyat kakanood ng videos tungkol sa Russia-Ukraine: ""Grabe pala""",
2022-02-24,next-big-future,Institute for Study of War Updates Russia Ukraine War,
2022-02-24,bbc-news,Ukraine: Where does it go from here?,
2022-02-24,unknown,Zelensky o rezolucji ONZ:,
2022-02-24,unknown,"Live: Russia vetoes UN resolution condemning attack on Ukraine, US to sanction Putin",
2022-02-24,unknown,Pompeo: Russia Invaded Ukraine Because Biden Didn’t Show Trump’s Resolve,
2022-02-24,unknown,Ukrainian official urges Apple CEO Tim Cook to cut off business with Russia,
2022-02-24,unknown,"Pittsburgher walks 20 hours to escape Ukraine, documenting journey - WTAE Pittsburgh",
2022-02-24,unknown,"Review risks, focus on response plans: Security experts offer tips to prep for Russian cyberattacks",
2022-02-24,the-hill,White House seeks $6.4B from Congress in Ukraine-related aid,
2022-02-24,politico,Russia's hidden tool to undermine sanctions,
2022-02-24,unknown,Associated Press: Russia vetoes U.N. Security Council resolution condemning its invasion of Ukraine,
2022-02-24,unknown,"Zelenskyy, the Ukrainian president facing down Putin's army - NBC News",
2022-02-24,unknown,Fact-check: Sorting disinformation amid Russian attacks on Ukraine,
2022-02-25,unknown,"Fleeing to the border: Over 150,000 Ukrainians seek refuge",
2022-02-25,unknown,"U.S., EU, U.K. Lead Agreement To Block Russia's Access To SWIFT Banking Network",
2022-02-25,unknown,Live updates: Macron presses Belarus on Russian troops,
2022-02-25,unknown,"Potent protest: Bars drop Russian vodka, promote Ukraine's",
2022-02-25,unknown,Elon Musk activates Starlink satellites to give Ukraine data backup,
2022-02-25,the-verge,Russia suspends Soyuz rocket launches over European sanctions,
2022-02-25,unknown,Ukrainian community in N.L. rallies in solidarity with those facing Russian invasion,
2022-02-25,cbc-news,Ukrainian community in N.L. rallies in solidarity with those facing Russian invasion,
2022-02-25,the-times-of-india,"Zelensky calls PM, India offers to help restore peace",
2022-02-25,unknown,'Ghost Of Kyiv' Fighter Pilot Blowing Up Russian Aircraft In Trending Clip Actually From Video Game,
2022-02-25,unknown,Antiwar protesters take to the streets around the world in support of Ukraine,
2022-02-25,unknown,"For one Ukrainian American family, a mix of anger, fear and regret - CNN",
2022-02-25,unknown,Maksim Chmerkovskiy said he was going into a bomb shelter in Kyiv - Insider,
2022-02-25,axios,UN Security Council to hold Sunday vote on rare emergency session over Ukraine - Axios,
2022-02-25,unknown,"US, EU, UK to sanction Russian central bank, block SWIFT",
2022-02-25,unknown,Why SWIFT is the nuclear option of Russian financial sanctions,
2022-02-25,al-jazeera-english,‘Not going to leave’: Ukrainians in Mariupol await Russian attack,
2022-02-25,unknown,Why didn’t the U.S. cut off Russia from SWIFT? It’s complicated.,
2022-02-25,bbc-news,The Papers: Ukrainians fight as 'world shuns pariah Putin',
2022-02-25,cbs-news,Kyiv remains in Ukrainian control after days of intense fighting,
2022-02-25,cbs-news,"Ukraine pleads for more international support, harsher sanctions against Russia",
2022-02-25,cbs-news,Thousands of Ukrainians flee to neighboring countries as Russia ramps up invasion,
2022-02-25,unknown,Op-Ed: Is Zelensky Ukraine's George Washington?,
2022-02-25,marca,Elon Musk lends his Starlink service to provide Internet in Russia and Ukraine,
2022-02-25,the-times-of-india,"Stuck in Ukraine, K'taka students running out of food",
2022-02-25,unknown,"Worried but defiant, Ukrainian refugees arrive in Poland",
2022-02-25,unknown,Former Ukraine President Petro Poroshenko dons battle gear in Kyiv,
2022-02-25,cbs-news,"U.S., U.K. and EU to remove select Russian banks from SWIFT banking system",
2022-02-25,unknown,Queen Elizabeth Postpones Diplomatic Reception in Windsor amid Russia and Ukraine Crisis,
2022-02-25,the-globe-and-mail,West to limit Russia's access to major global payment system - The Globe and Mail,
2022-02-25,unknown,"U.S., U.K., Europe, Canada to block Russian access to SWIFT",
2022-02-25,the-washington-post,"Ukraine's President Zelensky: In the streets of a war-rattled city, a hero is born",
2022-02-25,unknown,Former Miss Grand Ukraine Anastasiia Lenna Has Reportedly Joined the Fight Against Russia!,
2022-02-25,unknown,HAS PUTIN BOTCHED THE WAR?,
2022-02-25,unknown,Local artist to donate portion of proceeds to help citizens of Ukraine,
2022-02-25,unknown,"Southeastern Grocers Foundation Donates $250,000 for Relief Efforts in an Outpouring of Support for Ukraine",
2022-02-25,associated-press,"US, EU, UK to sanction Russian central bank, block SWIFT - Associated Press",
2022-02-25,fox-news,"Ukrainian citizens, defiant, take up arms to defend their country against Russia",
2022-02-25,unknown,Ukraine is grateful for financial sanctions imposed on Russia - PM,
2022-02-25,unknown,"U.S., EU, UK to sanction Russian central bank, block SWIFT",
2022-02-25,unknown,"U.S., EU, U.K. agree to remove selected Russian banks from SWIFT",
2022-02-25,unknown,Ukrainian mom reunited with kids after heroic stranger helped them at Hungary border,
2022-02-25,the-wall-street-journal,"Facebook, Apple and Other Tech Giants Face Rising Pressure Over Ukraine - The Wall Street Journal",
2022-02-25,unknown,Statement from Western allies on new sanctions against Russia,
2022-02-25,unknown,Elon Musk Suggests That SpaceX Could Keep ISS Aloft Despite Russian Threats,
2022-02-25,unknown,Specific Russian banks frozen out of international banking system SWIFT,
2022-02-25,the-washington-post,Civilians are dying in Ukraine. But exactly how many remains a mystery.,
2022-02-25,unknown,【朗報】男・楽天三木谷、ウクライナに10億円寄付,
2022-02-25,unknown,Explainer-Russian banks face exclusion as allies deploy 'financial nuclear weapon',
2022-02-25,the-hill,Cyber officials urge federal agencies to armor up for potential Russian attacks,
2022-02-25,unknown,"US bars are dropping Russian vodka, promoting Ukrainian brands instead",
2022-02-25,unknown,"US, Allies Take Big Step Against Russian Banks",
2022-02-25,unknown,Maks Chmerkovskiy Makes Plea to Former DTWS Partner Kirstie Alley From War-Torn Ukraine,
2022-02-25,unknown,North Korea launches apparent ballistic missile as world watches Ukraine,
2022-02-25,unknown,"City of Parma standing with Ukraine, shows signs of support amid Russia's invasion",
2022-02-25,unknown,Six Russian government websites including Kremlin website down,
2022-02-25,unknown,Portugal to send reinforcements to Ukraine,
2022-02-25,unknown,"Italy Doubles The Number Of Eurofighters Deployed To Romania, Prepares To Send Military Aid To Ukraine",
2022-02-25,unknown,Fighting intensifies in Kyiv,
2022-02-25,unknown,"US, other nations pledge to block 'select' Russian banks from SWIFT",
2022-02-25,unknown,World powers move to block some Russian banks from global SWIFT transaction system,
2022-02-25,unknown,World Watches In Stunned Disbelief As Ukraine Rallies To Inflict Incredible Damage To Russian Army But Will Putin Use The ‘Father Of All Bombs’?,
2022-02-25,unknown,North Korea launches a apparent ballistic missile as world watches Ukraine,
2022-02-26,unknown,"First Mover Asia: BitMEX Saga Concludes, but We'll Never Know if DOJ Overreached; Cryptos Tumble as Russia Bores Into Ukraine",
2022-02-26,espn,Top boxer Lomachenko joins battalion in Ukraine,
2022-02-26,unknown,"Meta: Russian State Media Have No More Access to Facebook in Ukraine, Some Accounts Demonitized",
2022-02-26,unknown,Oil surges on Russia nuclear alert as sanctions intensify,
2022-02-26,unknown,Russia puts nuclear capabilities on heightened alert,
2022-02-26,unknown,U.N. Security Council calls rare General Assembly session on Ukraine,
2022-02-26,unknown,"Russian state TV: “Our submarines alone can launch more than 500 nuclear warheads, which guarantees the destruction of the US and NATO for good measure. The principle is: why do we need the world if Russia won’t be in it?”",
2022-02-26,unknown,Chicago faith community unites in support of Ukraine on Near North Side,
2022-02-26,unknown,"Russia-Ukraine conflict bodes ill for Thailand, say FTI, shippers",
2022-02-26,unknown,World's largest plane reportedly destroyed in Ukraine - CNN,
2022-02-26,unknown,Dow Jones Futures Signal 'Swift' Market Reversal As Russia Bank Targeted Amid Ukraine Invasion - Investor's Business Daily,
2022-02-26,unknown,US says Putin's nuclear alert 'totally unacceptable' as Ukraine-Russia talks set to begin,
2022-02-26,unknown,Green Day Cancel Moscow Concert Over Russia’s Invasion of Ukraine - Pitchfork,
2022-02-26,unknown,BP exiting stake in Russian oil and gas company,
2022-02-26,unknown,Fonterra suspends export shipments to Russia,
2022-02-26,unknown,Euro slides with US stock futures as Ukraine risks rise,
2022-02-26,unknown,"Crude rallies, rouble plunges to record low as Ukraine risks rise",
2022-02-26,unknown,5 reasons Russia's attack on Ukraine may be difficult for you and how to cope,
2022-02-26,unknown,"UPDATE 1-Bolsonaro won't condemn Putin, says Brazil will remain neutral over invasion",
2022-02-26,unknown,Euro slides with U.S. stock futures as Ukraine risks rise,
2022-02-26,marca,Wladimir Klitschko's plea to end Russia-Ukraine conflict,
2022-02-26,unknown,EU Proposes Sanctions on Some of Russia's Wealthiest Tycoons (Bloomberg),
2022-02-26,unknown,Ukrainian government issues call for volunteers to join ‘International Legion’,
2022-02-26,unknown,Photos: Ukraine citizen soldiers train to repel Russian troops,
2022-02-26,unknown,Russia-Ukraine latest: Three miles of troops and tanks moving towards Kyiv,
2022-02-26,unknown,Why Did Russia Invade Ukraine? FAQs About the Conflict That Has Shocked The World,
2022-02-26,cbs-news,Ukrainian resident on living through the Russian invasion,
2022-02-26,unknown,Meta blocks Russian state-media accounts in Ukraine,
2022-02-26,unknown,Bellator MMA Champion Yaroslav Amosov Staying In Ukraine To Fight And Defend Country Against Russian Invasion,
2022-02-26,usa-today,"Soccer world called out FIFA for its shameful, weak response to Russia's Ukraine invasion",
2022-02-26,the-globe-and-mail,"Opinion: As Russia invades Ukraine, energy security has suddenly become as important as defense policy",
2022-02-26,cbs-news,American communities and corporations rally around Ukraine,
2022-02-26,unknown,Ukrainian resident on living through the Russian invasion,
2022-02-26,unknown,Lancaster professors' project in limbo as Ukraine crisis puts landmine research on pause,
2022-02-26,marca,Russia Ukraine war: Will Russia use nuclear weapons?,
2022-02-26,abc-news,Ukraine agrees to meet with Russia at Belarus border,
2022-02-26,unknown,BP quits Russia in up to $34 billion hit after Ukraine invasion,
2022-02-26,bloomberg,Niall Ferguson: Ukraine Crisis Is Turning Biden Into Jimmy Carter - Bloomberg,
2022-02-26,unknown,American communities and corporations rally around Ukraine,
2022-02-26,cbs-news,Some Russians speak out against war in Ukraine,
2022-02-26,unknown,"New York State to stop doing business with Russia, Hochul says",
2022-02-26,unknown,"EU escalates sanctions on Russia: Closes airspace, bans media",
2022-02-26,unknown,PM call with President Zelenskyy: 27 February 2022,
2022-02-26,newsweek,Why US Friends India and UAE Won't Back Biden Against Russia on Ukraine,
2022-02-26,cbs-news,U.S. and Western allies impose sweeping sanctions on Russia,
2022-02-26,unknown,Mother describes fleeing from Ukraine to the US,
2022-02-26,unknown,U.S. Stocks Poised to Plunge Over Ukraine-Russia Worries. Nasdaq Futures Down 3%.,
2022-02-26,unknown,"Bolsonaro won't condemn Putin, says Brazil will remain neutral over invasion",
2022-02-26,unknown,Euro backlash as FIFA refuses to expel Russia from football,
2022-02-26,unknown,MIT severs ties with Russian school after Ukraine invasion,
2022-02-26,newsweek,Here's How Americans Can Sign Up to Fight in Ukraine Against the Russians,
2022-02-26,cbc-news,'Scary and devastating': Ottawans rally all weekend in support of Ukraine,
2022-02-26,unknown,"Kyiv Mayor Vitali Klitschko proud of citizens’ spirit, anxious about future",
2022-02-26,unknown,Some Russians speak out against war in Ukraine,
2022-02-26,bbc-news,Ukraine conflict: The civilian lives lost to Russia's war,
2022-02-26,unknown,Ukraine conflict: The civilian lives lost to Russia's war,
2022-02-26,unknown,Rep. Lauren Boebert Says Canada And U.S. 'Need To Be Liberated' Like Ukraine,
2022-02-26,unknown,Maksim Chmerkovskiy Shares Emotional Update From Ukraine: ‘I’m Trying to Stay Focused,
2022-02-26,unknown,Green Day Axes Moscow Concert Over Ukraine Invasion,
2022-02-26,cbs-news,Ukrainians resist as Russian forces push toward major cities,
2022-02-26,unknown,U.S. banks prepare for cyber attacks after latest Russia sanctions - Reuters,
2022-02-26,unknown,"Narrative of the weak liberal West being outfoxed by strong, smart Putin is being shown up for the myth that it is",
2022-02-26,unknown,Security Council vote sets up emergency UN General Assembly session on Ukraine crisis,
2022-02-26,unknown,EU Countries To Send 'Fighter Jets' To Ukraine: Borrell,
2022-02-26,unknown,"Yes, that’s Ukraine’s flag on our cover",
2022-02-26,unknown,D.C.’s Foreign Policy ‘Experts’ Now Demand ‘Regime Change’ for Russia.,
2022-02-26,unknown,Dollar Surges Versus Almost Everything on Ukraine Conflict Risks,
2022-02-26,unknown,George Soros: U.S. Must ‘Do Whatever’ Possible to Back Ukraine Against Russia,
2022-02-26,unknown,Putin’s nuclear threat: More guff from the thug,
2022-02-26,unknown,"Europe, Canada close airspace to Russian airplanes",
2022-02-26,unknown,Russian Invasion of Ukraine Tops UN Human Rights Council Agenda,
2022-02-26,unknown,G7 Vows New Russia Sanctions If Invasion Continues,
2022-02-26,unknown,Potent protest: South Carolina liquor store among businesses snubbing Russian vodka in protest,
2022-02-27,cnn,Biden hoped to spark a political reset at home with his first State of the Union address. A war in Europe changed those plans.,
2022-02-27,unknown,Putin's nuke threat and the 'Samson Option',
2022-02-27,breitbart-news,Max Boot: Ukraine Invasion 'Gut-Check Moment' for GOP,
2022-02-27,unknown,UN: Half a million Ukrainians have fled country as refugee numbers are 'rising exponentially',
2022-02-27,the-hill,UN: Half a million Ukrainians have fled country as refugee numbers are 'rising exponentially',
2022-02-27,unknown,"US states squeeze Russia financially, pull funding",
2022-02-27,usa-today,Fact check: Unclear whether armored vehicle shown crushing car in Kyiv is Russian,
2022-02-27,unknown,"Namecheap is banning Russians, asks them to switch registrars",
2022-02-27,unknown,"Namecheap terminates services for Russians, asks them to move domains",
2022-02-27,usa-today,KSW announces 'ethically justifiable' decision to cancel Russian fighter's bout amid invasion of Ukraine,
2022-02-27,unknown,"CM Mamata Banerjee writes to PM, says her govt stands behind Centre on Ukraine",
2022-02-27,unknown,Ukraine resists advancing Russian forces as the West imposes tough new sanctions,
2022-02-27,unknown,Ukrainian Military Says Soldiers at Snake Island Survived,
2022-02-27,the-hill,The Met says it will no longer work with artists with Putin ties,
2022-02-27,unknown,The Met says it will no longer work with artists with Putin ties,
2022-02-27,newsweek,NCAA Ukrainian Player Cheered From Court as Country's NBA Players Suit Up,
2022-02-27,unknown,"Gallery: Ukraine - Russia crisis, March 1",
2022-02-27,unknown,Conspiracy Crazies Offer Clashing Theories on Russia’s Invasion of Ukraine,
2022-02-27,marca,"Ukranian UFC fighter Maryna Moroz sends message to Vladimir Putin: ""F*** you, b****!""",
2022-02-27,unknown,"No, Democratic Socialists, America is not to blame for Putin’s imperialism",
2022-02-27,unknown,How Crypto Is Helping Ukraine Resist Russia's Invasion - CNET,
2022-02-27,unknown,Crises unfolding in Ukraine ripple throughout Europe – Security Council hears,
2022-02-27,unknown,Associated Press: Putin spokesman Peskov denies Kremlin is targeting residential areas in Ukraine,
2022-02-27,unknown,"As sanctions batter economy, Russians face the anxieties of a costly war",
2022-02-27,abc-news-au,Russia accused of using vacuum bomb and banned cluster munitions against hiding civilians,
2022-02-27,abc-news-au,Ukraine accuses Russia of using vacuum bomb,
2022-02-27,unknown,Eerie symbols — likely Russian targets — pop up on Ukraine buildings,
2022-02-27,unknown,How Europe is responding to a flood of Ukrainian refugees,
2022-02-27,unknown,Why the first few days of war in Ukraine went badly for Russia,
2022-02-27,unknown,United States says it is expelling 12 Russian diplomats for espionage,
2022-02-27,unknown,Russian diplomats expelled from New York for alleged 'espionage activities',
2022-02-27,unknown,A ransomware group paid the price for backing Russia | #government | #hacking | #cyberattack | #cybersecurity | #infosecurity | #hacker,
2022-02-27,newsweek,Man Trumpets Ukraine's National Anthem in Metro Station in Viral Video,
2022-02-27,unknown,"Russia Used A Vacuum Bomb During Invasion, Claims Ukraine",
2022-02-27,unknown,"Tchmil, Popovych ready to fight Russian invasion",
2022-02-27,business-insider,Ukraine waives visa requirements for foreigners who want to come and fight Russia,
2022-02-27,newsweek,"Kremlin Says After 'Denazification,' Ukrainians to 'Freely' Determine Fate",
2022-02-27,unknown,California pension funds face call to divest from Russian holdings. Here’s what they own,
2022-02-27,unknown,Stock market news live updates: Stock futures open flat as Russia intensifies attacks on Ukraine,
2022-02-27,unknown,Crisis in Ukraine: Ukraine seeks to join EU as round of talks with Russia ends - WGAL Lancaster,
2022-02-27,fox-news,Jennifer Griffin On Russia-Ukraine War: ‘I Don’t Think The World Has Ever Been In A Situation This Dangerous’,
2022-02-27,cbs-news,Senators ask Biden to shield Ukrainians from deportation,
2022-02-27,unknown,Coinbase Declines Ukraine Request to Block Russian Crypto Users,
2022-02-27,unknown,"Associated Press: More than 520,000 refugees have fled Ukraine since Russia invaded, U.N. says",
2022-02-27,unknown,Ukraine crisis: Joe Biden says Americans shouldn’t worry about nuclear war after Vladimir Putin’s order,
2022-02-27,unknown,Zelensky to Arm Prisoners Who Have “Combat Experience” and Drop them in the “Hottest Spots” of the War to Fight for Ukraine and “Compensate for Their Guilt”,
2022-02-27,unknown,Why the war in Ukraine could get 'much more brutal' in the days ahead,
2022-02-27,unknown,"Twitter, Facebook clamp down on Russia state-linked news",
2022-02-27,unknown,"Readers Write: Ukraine, the freedom to read",
2022-02-27,unknown,Putin schools America on what real trouble looks like,
2022-02-27,unknown,Fleeing Ukraine: One family's story,
2022-02-27,unknown,"Maksim Chmerkovskiy: I Got Arrested, But Now I'm Finally Leaving Ukraine",
2022-02-27,associated-press,Tennessee lawmakers throw support behind Ukraine,
2022-02-27,unknown,Experts Expect Russia to Ramp Up Its Cyber Attacks As Ukraine Bolsters Internet Resilience,
2022-02-27,the-wall-street-journal,A Global Ukraine Scorecard - The Wall Street Journal,
2022-02-27,unknown,Asia-Pacific markets set to gain as investors weigh Russia-Ukraine conflict,
2022-02-27,unknown,Young Thug Prepares to Help Africans Escape the Russia-Ukraine Conflict Amid Reports of Alleged Racism,
2022-02-27,fox-news,Republicans introduce joint resolution demanding Russia lose permanent seat on UN Security Council,
2022-02-27,unknown,Republicans introduce joint resolution demanding Russia lose permanent seat on UN Security Council,
2022-02-27,business-insider,"Biden's State of the Union speech needs to show the US a clear map out of economic trouble even as he deals with Ukraine, Democratic strategists say",
2022-02-27,unknown,Meta blocks access to Russian state-based media outlets RT and Sputnik across EU,
2022-02-27,breitbart-news,White House Boasts Joe Biden ‘Leading’ Opposition Against Vladimir Putin ‘Behind the Scenes’,
2022-02-27,unknown,American Pilot Refuses To Board Russian Ships,
2022-02-27,business-insider,"Ukraine and Russia are still fighting for control of the skies 5 days into the war, US defense official says",
2022-02-27,unknown,Guest Opinion: Under-the-radar implications of Russia's move on Ukraine,
2022-02-27,associated-press,A free-for-all but no crippling cyberattacks in Ukraine war - Associated Press,
2022-02-27,unknown,Hackers are having way too much fun going after Vladimir Putin,
2022-02-27,nbc-news,"Inflation is biggest fear in markets, despite Russian aggression",
2022-02-28,unknown,Israeli footballer describes harrowing experience of fleeing Ukraine,
2022-02-28,rt,"US envoy sends ‘world united’ warning to Russia, China and Iran",
2022-02-28,unknown,"War in Ukraine may stall talks to free Paul Whelan, Michigan man imprisoned in Russia",
2022-02-28,cbs-news,Ukrainian refugees flee to neighboring countries,
2022-02-28,cbs-news,Romney discusses escalating war in Ukraine,
2022-02-28,cbs-news,"Romney: ""I don't think that anybody can really assess"" Putin's mental state",
2022-02-28,newsweek,Russian Hospitals Turning Away Civilians to Treat Wounded Troops: Report,
2022-02-28,unknown,"Mood darkens in Moscow as Putin presses Ukraine war, but West still largely blamed",
2022-02-28,unknown,"No, you can’t tell if the gas at the pump comes from Russian oil",
2022-02-28,unknown,Ukraine crisis emerges as talking point in U.S. gun debate,
2022-02-28,unknown,"Ukraine crisis: Venezuela Assures ""Strong Support"" To Russia",
2022-02-28,unknown,CCM to no longer use Ovechkin and other Russian players for marketing purposes,
2022-02-28,unknown,Russian forces pound Ukraine's cities as the resistance holds the line in Kyiv,
2022-02-28,cbc-news,"Canada's new sanctions targeting Russia could hurt Canada's economy as well, Freeland says",
2022-02-28,axios,"Zelensky Assassination Plot Foiled, Ukrainian Authorities Say",
2022-02-28,unknown,Republicans slam Biden over continued Russian oil and gas imports,
2022-02-28,unknown,Russia's invasion of Ukraine sends news network ratings up,
2022-02-28,unknown,"Russia And Belarus Figure Skaters Banned Over Ukraine Invasion, Keeping Olympic Trio Out Of World Championships",
2022-02-28,unknown,"Biden to blast Putin, lay out plans to tackle inflation in State of the Union",
2022-02-28,nbc-news,"Biden to blast Putin, lay out plans to tackle inflation in State of the Union",
2022-02-28,time,Russia Faces War Crime Accusations as Civilian Casualties Grow,
2022-02-28,unknown,Let’s talk about Ukraine,
2022-02-28,fox-news,"House Republicans in lockstep calling for more action on Ukraine, even as some on right oppose doing more",
2022-02-28,unknown,Apple halts all device sales in Russia in response to invasion of Ukraine,
2022-02-28,unknown,Putin’s Ukraine war game and other commentary,
2022-02-28,bloomberg,World Bank Preparing $3 Billion Support Package for Ukraine,
2022-02-28,bleacher-report,NHL Agent: Russian Clients Harassed to 'Disturbing Levels' After Ukraine Invasion,
2022-02-28,fox-news,Buck Sexton on conservatives' split on Russian invasion: US military intervention 'a bright red line',
2022-02-28,bbc-news,Newspaper headlines: 'Defiant' Ukraine faces 'barbaric' attacks,
2022-02-28,unknown,UK Ambassador Karen Pierce on the international efforts aimed at deterring Russia,
2022-02-28,abc-news-au,'Nobody is going to break us': Zelenskyy's emotional plea to EU brings interpreters to tears,
2022-02-28,unknown,Putin's initial invasion 'failed miserably' — but he may now employ brutality to project strength: security expert,
2022-02-28,unknown,Apple halts product sales in Russia after Ukraine invasion,
2022-02-28,unknown,Chinese news anchor wears Ukrainian flag colors while reporting NATO is responsible for Russian invasion,
2022-02-28,unknown,Russia demands withdrawal of US nuclear weapons from Europe,
2022-02-28,unknown,Warner backs Youngkin's call for state to divest Russian investments,
2022-02-28,unknown,Crypto: Has the Russia-Ukraine war driven up bitcoin’s price? Here’s what analysts are saying,
2022-02-28,unknown,Five Reasons Why Russia is Struggling in Ukraine,
